"visit_date","company","mileage","spend","pence_l","litres","miles_covered"
"01/01/2018","Shell","129454","37.00","121.9","30.35","414"
"08/01/2018","BP","129868","39.00","123.9","31.48","400"
"14/01/2018","Sainsburys","130268","38.01","122.9","30.93","417"
"21/01/2018","Sainsburys","130685","39.00","122.9","31.73","415"
"28/01/2018","Sainsburys","131100","39.00","122.9","31.73","407"
"16/04/2018","BP","131507","38.00","123.9","30.67","409"
"25/04/2018","BP","131916","20.00","124.9","16.01","240"
"30/04/2018","BP","132156","39.00,"125.9","30.98","381"
"08/05/2018","BP","132537","40.01","127.9","31.28","449"
"16/05/2018","BP","132986","39.00","130.9","29.79","405"
"23/05/2018","Sainsburys","133391","40.02","128.9","31.05","418"
"01/06/2018","BP","133809","40.00","133.9","29.87","418"
"08/06/2018","BP","134227","41.00","133.9","30.62","445"
"15/06/2018","BP","134672","40.00","130.9","30.56","405"
"25/06/2018","BP","135077","42.00","131.9","31.84","454"
"01/07/2018","BP","135531","42.00","128.9","32.58","450"
"08/07/2018","Applegreen","135981","40.02","126.9","31.54","433"
"16-07-2018","BP","136414","40.00","129.9","30.79","464"
24-07-2018,BP,136878,40.00,130.9,30.56,478
01-08-2018,Shell,137356,38.00,131.9,28.81,378
01-09-2018,Applegreen,137734,40.00,127.8,31.30,409
06-10-2018,Shell,138143,40.00,150.9,26.51,377
20-10-2018,Shell,138520,35.00,149.9,23.35,320
24-10-2018,BP,138840,40.00,132.9,30.10,407
01-11-2018,BP,139247,39.00,134.9,28.91,372
07-11-2018,Sainsburys,139619,39.00,129.9,30.02,386
14-11-2018,BP,140005,40.00,132.9,30.10,390
21-11-2018,BP,140395,40.00,132.9,30.10,440
28-11-2018,BP,140835,41.01,131.9,31.09,325
04-12-2018,Sainsburys,141160,40.01,124.9,32.03,398
09-12-2018,Shell,141558,40.00,142.9,27.99,350
13-12-2018,Esso,141908,22.00,128.9,17.07,237
18-12-2018,BP,142145,40.01,129.9,30.80,394
24-12-2018,BP,142539,39.00,126.9,30.73,399
